2020-05-17T11:04:01.286, 0, 25772, 2020-05-17T10:54:01.286, -1989133.3430834783, -8130217.779334966, 9271.59691128247, 5.074916727950859, 2020-05-17T10:55:01.286, -1738970.3523443781, -8180988.596336187, 335525.95140157803, 0.2566905200124958, 2020-05-17T10:56:01.286, -1484552.2841660646, -8211744.582400013, 660960.2815084265, 5.645020997624002
2020-05-17T21:35:17.520, 0, 25907, 2020-05-17T21:25:17.520, 7292925.789920216, 3501039.810514576, 9285.3775513573, 2.0974413679102586, 2020-05-17T21:26:17.520, 7170574.212928426, 3729824.1227539466, 340996.4301239839, 3.570757417755436, 2020-05-17T21:27:17.520, 7028791.987581198, 3948501.460284968, 671783.4731127787, 6.6131612396668835
2020-05-17T21:36:25.044, 0, 25885, 2020-05-17T21:26:25.044, 8212837.0274870815, 173419.1461677855, 1481676.2852549923, 6.941407250214226, 2020-05-17T21:27:25.044, 8139776.047642206, 431052.3636560231, 1798027.7184576772, 6.666169449286292, 2020-05-17T21:28:25.044, 8046636.177936332, 687621.9768369084, 2109943.462918352, 1.2148985580706995
2020-05-17T21:40:52.583, 0, 37189, 2020-05-17T21:30:52.583, -1117325.976561003, 4803084.441927918, 6031696.578612702, 5.623133989274285, 2020-05-17T21:31:52.583, -1504495.0612972286, 4626054.210392303, 6085674.123915578, 2.153952092598279, 2020-05-17T21:32:52.583, -1887100.2641814067, 4434990.4599980945, 6121190.355332758, 8.486944120746449
2020-05-17T23:05:23.607, 0, 25772, 2020-05-17T22:55:23.607, -3718057.0026565255, 4512292.92001288, -5995329.102281894, 1.3678787514483282, 2020-05-17T22:56:23.607, -3906266.636719683, 4166590.6581129087, -6123670.00457687, 0.30438906004270017, 2020-05-17T22:57:23.607, -4084933.1796393935, 3810708.537058121, -6237050.411591829, 2.7481739865057317
2020-05-17T23:56:56.649, 0, 25945, 2020-05-17T23:46:56.649, 4819373.185935756, 6363511.227975721, 936666.8900883009, 6.7430294149263545, 2020-05-17T23:47:56.649, 4627331.385843336, 6543633.701986342, 606231.6542832768, 8.245657487098914, 2020-05-17T23:48:56.649, 4422503.402821317, 6705674.9821978295, 274121.22528913384, 9.179502390962334
2020-05-18T01:11:30.650, 0, 25946, 2020-05-18T01:01:30.650, 4499342.919670527, 6519173.818619018, 1038879.8920106265, 2.9003229843669844, 2020-05-18T01:02:30.650, 4301061.2673886875, 6694983.988916219, 708215.9136471157, 6.684268221273399, 2020-05-18T01:03:30.650, 4090677.955539362, 6851956.7436082605, 375559.3331321813, 2.6101020490579776
2020-05-18T01:16:34.874, 0, 25770, 2020-05-18T01:06:34.874, -5424735.15910285, -1724475.3467787656, 6213797.80749033, 7.8496327456922055, 2020-05-18T01:07:34.874, -5185332.84165505, -2043035.4813679366, 6320708.242777506, 6.090599164301851, 2020-05-18T01:08:34.874, -4933499.095941406, -2356697.450058706, 6412465.132761117, 6.263866851889919
2020-05-18T02:31:47.427, 0, 32264, 2020-05-18T02:21:47.427, -7048293.462946228, -109590.769704338, 3319639.784516638, 4.691684445186031, 2020-05-18T02:22:47.427, -7166976.402443823, -403514.7344032512, 3030424.909486895, 9.078737088088605, 2020-05-18T02:23:47.427, -7263924.013953444, -696214.9592228214, 2732019.646798865, 5.262156535827561
2020-05-18T03:50:51.367, 0, 25873, 2020-05-18T03:40:51.367, -7267384.019819174, 1762120.4257826651, 4051449.471564632, 3.4944108466719292, 2020-05-18T03:41:51.367, -7462420.75482797, 1513592.0760152983, 3788976.8681308795, 7.027444975144894, 2020-05-18T03:42:51.367, -7640054.768233425, 1261533.924342885, 3517668.1484024865, 2.86588980636611
2020-05-18T03:55:50.754, 0, 25624, 2020-05-18T03:45:50.754, -6685295.610487515, 1329269.1932474342, 4023812.899366054, 2.087467105590971, 2020-05-18T03:46:50.754, -6883383.988465893, 1058403.9236888494, 3761745.290835086, 1.068613051912043, 2020-05-18T03:47:50.754, -7061559.281693394, 784476.5924052871, 3488795.026191661, 6.878139956152504
2020-05-18T04:29:49.556, 0, 38040, 2020-05-18T04:19:49.556, -3037801.040765404, 7106914.763571991, 984054.977900804, 7.1209056504336585, 2020-05-18T04:20:49.556, -3294685.915859791, 7030580.677955502, 648912.2364606028, 8.373150984202887, 2020-05-18T04:21:49.556, -3541577.5367308874, 6932921.738876725, 311801.19235003414, 9.29699710403496
2020-05-18T04:37:07.202, 0, 32263, 2020-05-18T04:27:07.202, -5059365.867182588, -5051690.11865329, 3320407.585635751, 1.2831267504963118, 2020-05-18T04:28:07.202, -4940627.206758724, -5342419.62435452, 3031706.7902735993, 8.885628437253366, 2020-05-18T04:29:07.202, -4807419.610790363, -5617503.3968333, 2734127.5156920836, 6.879186562474175
2020-05-18T04:59:39.698, 0, 31571, 2020-05-18T04:49:39.698, -4520277.864559326, 6123950.414689769, 1661544.702738809, 5.4205685026413395, 2020-05-18T04:50:39.698, -4688798.789930068, 5896954.906768903, 1984402.4509947898, 1.4140182797547851, 2020-05-18T04:51:39.698, -4843094.969552662, 5652069.22154101, 2301240.0675455336, 3.6670303707686704
2020-05-18T05:24:58.905, 0, 25872, 2020-05-18T05:14:58.905, -5788364.902263508, -4965343.695182956, 3436204.284577347, 9.916278767092695, 2020-05-18T05:15:58.905, -5693754.388276662, -5253119.701499762, 3153641.3963364945, 1.9510606731582913, 2020-05-18T05:16:58.905, -5585185.443947039, -5528018.0683834115, 2863346.9064235003, 6.941347694326278
